// * Поставки
//countryId;regionId;companyId;productId;contract;date;sum
1;1;1;1;112/04-2016;2016-04-11;2053673
1;1;1;1;118/04-2016;2016-04-15;3106752
1;1;1;1;125/04-2016;2016-04-21;2837659
1;1;1;1;134/05-2016;2016-05-12;1921061
1;1;1;1;152/05-2016;2016-05-25;2361842
1;1;1;1;176/06-2016;2016-06-07;2227749
1;1;1;1;183/06-2016;2016-06-15;2872523
1;1;1;1;187/06-2016;2016-06-21;1867594
1;1;1;1;195/06-2016;2016-06-23;2148918
1;1;1;2;112/04-2016;2016-04-11;1753967
1;1;1;2;118/04-2016;2016-04-15;1716989
1;1;1;2;125/04-2016;2016-04-21;780789
1;1;1;2;134/05-2016;2016-05-12;2543985
1;1;1;2;152/05-2016;2016-05-25;1621460
1;1;1;2;176/06-2016;2016-06-07;2593240
1;1;1;2;183/06-2016;2016-06-15;2188057
1;1;1;2;187/06-2016;2016-06-21;2788386
1;1;1;2;195/06-2016;2016-06-23;885713
1;1;1;3;112/04-2016;2016-04-11;2748916
1;1;1;3;118/04-2016;2016-04-15;2760774
1;1;1;3;125/04-2016;2016-04-21;2889846
1;1;1;3;134/05-2016;2016-05-12;1765589
1;1;1;3;152/05-2016;2016-05-25;1057069
1;1;1;3;176/06-2016;2016-06-07;1331740
1;1;1;3;183/06-2016;2016-06-15;1011695
1;1;1;3;187/06-2016;2016-06-21;2651733
1;1;1;3;195/06-2016;2016-06-23;1319748
1;1;1;4;112/04-2016;2016-04-11;2014093
1;1;1;4;118/04-2016;2016-04-15;1599826
1;1;1;4;125/04-2016;2016-04-21;925468
1;1;1;4;134/05-2016;2016-05-12;1583080
1;1;1;4;152/05-2016;2016-05-25;893773
1;1;1;4;176/06-2016;2016-06-07;808443
1;1;1;4;183/06-2016;2016-06-15;1181323
1;1;1;4;187/06-2016;2016-06-21;980606
1;1;1;4;195/06-2016;2016-06-23;2272204
1;1;1;5;112/04-2016;2016-04-11;2168941
1;1;1;5;118/04-2016;2016-04-15;2724430
1;1;1;5;125/04-2016;2016-04-21;2949499
1;1;1;5;134/05-2016;2016-05-12;2137182
1;1;1;5;152/05-2016;2016-05-25;922517
1;1;1;5;176/06-2016;2016-06-07;1313856
1;1;1;5;183/06-2016;2016-06-15;1031763
1;1;1;5;187/06-2016;2016-06-21;1142561
1;1;1;5;195/06-2016;2016-06-23;2615643
1;1;1;6;112/04-2016;2016-04-11;3109682
1;1;1;6;118/04-2016;2016-04-15;2428481
1;1;1;6;125/04-2016;2016-04-21;2540173
1;1;1;6;134/05-2016;2016-05-12;2469369
1;1;1;6;152/05-2016;2016-05-25;965551
1;1;1;6;176/06-2016;2016-06-07;2851949
1;1;1;6;183/06-2016;2016-06-15;1510103
1;1;1;6;187/06-2016;2016-06-21;2894015
1;1;1;6;195/06-2016;2016-06-23;2165222
1;1;1;7;112/04-2016;2016-04-11;3015080
1;1;1;7;118/04-2016;2016-04-15;2483319
1;1;1;7;125/04-2016;2016-04-21;852697
1;1;1;7;134/05-2016;2016-05-12;865022
1;1;1;7;152/05-2016;2016-05-25;2754240
1;1;1;7;176/06-2016;2016-06-07;3101621
1;1;1;7;183/06-2016;2016-06-15;1650431
1;1;1;7;187/06-2016;2016-06-21;1467621
1;1;1;7;195/06-2016;2016-06-23;2076443
1;1;2;1;112/04-2016;2016-04-11;2425976
1;1;2;1;118/04-2016;2016-04-15;1589084
1;1;2;1;125/04-2016;2016-04-21;1263244
1;1;2;1;134/05-2016;2016-05-12;2328984
1;1;2;1;152/05-2016;2016-05-25;1410368
1;1;2;1;176/06-2016;2016-06-07;2621298
1;1;2;1;183/06-2016;2016-06-15;2342112
1;1;2;1;187/06-2016;2016-06-21;2843533
1;1;2;1;195/06-2016;2016-06-23;1541706
1;1;2;2;112/04-2016;2016-04-11;1518879
1;1;2;2;118/04-2016;2016-04-15;2720055
1;1;2;2;125/04-2016;2016-04-21;3031162
1;1;2;2;134/05-2016;2016-05-12;2552566
1;1;2;2;152/05-2016;2016-05-25;1606970
1;1;2;2;176/06-2016;2016-06-07;1631353
1;1;2;2;183/06-2016;2016-06-15;2276955
1;1;2;2;187/06-2016;2016-06-21;860753
1;1;2;2;195/06-2016;2016-06-23;3021327
1;1;2;3;112/04-2016;2016-04-11;2129394
1;1;2;3;118/04-2016;2016-04-15;2725147
1;1;2;3;125/04-2016;2016-04-21;2637665
1;1;2;3;134/05-2016;2016-05-12;2750875
1;1;2;3;152/05-2016;2016-05-25;2059383
1;1;2;3;176/06-2016;2016-06-07;2612799
1;1;2;3;183/06-2016;2016-06-15;1480096
1;1;2;3;187/06-2016;2016-06-21;2077080
1;1;2;3;195/06-2016;2016-06-23;1989324
1;1;2;4;112/04-2016;2016-04-11;985086
1;1;2;4;118/04-2016;2016-04-15;2450080
1;1;2;4;125/04-2016;2016-04-21;1261057
1;1;2;4;134/05-2016;2016-05-12;2745609
1;1;2;4;152/05-2016;2016-05-25;1695241
1;1;2;4;176/06-2016;2016-06-07;2300101
1;1;2;4;183/06-2016;2016-06-15;1056973
1;1;2;4;187/06-2016;2016-06-21;1359637
1;1;2;4;195/06-2016;2016-06-23;3044997
